recipient,reason,rewardToken,rewardAmount
0x12d3D411d010891a88BFf2401bD73FA41fb1316e,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,52204.581478
0x41Bc7d0687e6Cea57Fa26da78379DfDC5627C56d,ERC20,PYTH,46626.041125
0x425712a974D4f2802309e0E68d001756363c1C55,ERC20,PYTH,39107.507241
0x617c34A9B6F080a0f25988DB6C903a8348D41081,ERC20,PYTH,31733.332727
0x9843C8a8263308A309BfC3C2d1c308126D8E754D,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,27634.14673
0xEa51Ccb352Aea7641fF4D88536F0F06Fd052EF8f,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,24571.289057
0xdC7Aa225964267c7E0EfB35f4931426209E90312,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,21531.655914
0xCF263cEe139763114fAaFC5F52865135412F50Ec,ERC20,PYTH,19599.682274
0xDdB50FfDbA4D89354E1088e4EA402de895562173,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,18096.948322
0x1A162A5FdaEbb0113f7B83Ed87A43BCF0B6a4D1E,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,12524.690778
0x813eaf28F5ec872F053504F51047c231E99d09dc,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,11840.270298
0x12d3D411d010891a88BFf2401bD73FA41fb1316e,ERC20,PYTH,10717.688846
0xAC95712Ccf7fd178f198C7B6fd2d5f6f7a202929,ERC20,PYTH,10366.186306
0xaE58656D27c561f93dE0e23042B67eDDea69A8fc,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,9807.854502
0x617c34A9B6F080a0f25988DB6C903a8348D41081,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,9393.209947
0x4b003868bBD5ADd0D1251553b829E58Ba3CdCd3c,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,8462.197957
0xD34f3e85bB7C8020C7959B80a4B87a369D639dc0,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,8149.391276
0x02FBADF4F6587885c7Db75c65d13cF5FeD2d246E,ERC20,PYTH,6308.680855
0xF930EBBd05eF8b25B1797b9b2109DDC9B0d43063,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,5552.158691
0xef764BAC8a438E7E498c2E5fcCf0f174c3E3F8dB,ERC20,PYTH,5506.206022
0x5Be876Ed0a9655133226BE302ca6f5503E3DA569,ERC20,PYTH,4976.170928
0x4F4715CA99C973A55303bc4a5f3e3acBb9fF75DB,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,4800.440604
0xa8cbF4200595eFcd94b7526D04dEafe0f284aF2d,ERC20,PYTH,4479.810604
0x1b3269DFE161A7C6d79616e2874215Ea3e044818,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,4414.648191
0xf91d4cf33A08ABc1227CFD69FC92C2b1Df9fD23c,ERC20,PYTH,4078.562056
0x3Ad4CeE90D0Eb10769AF8F3D8a58f9df39Af45Db,ERC20,PYTH,3910.669673
0x98D3783a813D50d2efd1CC2BdeB0383dd2Ecc55e,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,3785.971013
0x7D8FE788eD6a843F7525b8f16D087be1edAb67dc,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,3626.183596
0x854F1269b659A727a2268AB86FF77CFB30BfB358,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,3376.419425
0xAF3F59f38788f1E60D70AdD0cB10565fB3BAa8dE,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,3252.748667
0x21777106355Ba506A31FF7984c0aE5C924deB77f,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,3098.724212
0x1109297e392d92c1613fdbdF30579a0215c20Da9,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,3087.462446
0xE3996E687101C6709C9c1A27a1e8E44cF125d574,ERC20,PYTH,2353.159134
0x4Ce674f5f462Ed707e5FE1fEf65B0Bb1ea87c099,ERC20,PYTH,2072.147261
0x089A2C44131b1Eb30CC4fc226560163FcEF2C288,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,2003.857193
0x2a88487328E89Fe6C3b71706069715F301F4BEB4,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,1692.487686
0xCd63A6bEC95Ce7c31457617D1F61AfF86F6064cf,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,1652.715755
0xaf75696B63745470E74b752C38f8413095d076A7,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,1624.481909
0x1AcB64EBeAcEc80c3bc29e5ea06e1F140B69a234,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,1602.852979
0x279a7DBFaE376427FFac52fcb0883147D42165FF,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,1575.432413
0xCA40E5D0321a67Bea2F2Cf0C24848673F5C38279,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,1553.016588
0xDaD052f8F88C59907c7bf06DF7252FE35Bf1209A,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,1520.684224
0xb0e83C2D71A991017e0116d58c5765Abc57384af,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,1501.429731
0x6e0a1dDAD894e6466d405Bb73377F0A257278D74,ERC20,PYTH,1492.051347
0x08baFb4400A102Dddc5e5d584abf0aA38E174c57,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,1387.45985
0xc0A819890303AE6F4ff5D4103eE76F9756661765,ERC20,PYTH,1276.493742
0xf69EA6646cf682262E84cd7c67133eac59cef07b,ERC20,PYTH,1184.579238
0xb91F96b7C62fe4a2301219956Cc023fA7892F0C0,ERC20,PYTH,1162.99786
0x331F150FD9f0dfacf02C4993a093143C0Bb81f26,ERC20,PYTH,1155.091718
0x72ec822bc85551C6a4f5317b6860d0215cF902B6,Forwarder_ERC20_0xE55843a90672f7d8218285e51EE8fF8E233F35d5,PYTH,1141.161986
